id,reference,description,montant,statut
ts-sup-001,16,Portes acoustiques,97056,supprime
ts-sup-002,04B,Ajout parquet sous moquette dans les chambres,26780,supprime
ts-sup-003,04C,Maj projet déco Parquet R2 R3,47009,supprime
ts-sup-004,10,Terres polluées (50% volume),60597,supprime
ts-sup-005,21,Mesures conservatoires CFO CFA,141711,supprime
ts-sup-006,22,"Vidéos, son, sureté, incendie, interphonie, domotique",393058,supprime
ts-sup-007,23,Ajout toilettes TOTO,70378,supprime
ts-sup-008,23-A,Ajout toilettes Gébérit,91086,supprime
ts-sup-009,25,Ajout parois vitrées dans SB01&02,26564,supprime
ts-sup-010,31,Maj Projet Cuisine RDC R3,236957,supprime
ts-sup-011,32,Fosses techniques en mesure conservatoire,65299,supprime
ts-sup-012,31-A,Maj Projet Cuisine RDC R2,181009,supprime
ts-sup-013,40,Cuisine R+3,48286,supprime
ts-sup-014,42,Mise à jour projet Dressings R2 R3,126650,supprime
ts-sup-015,43,Maj projet Clim Salon RDC,33283,supprime
ts-sup-016,44,Maj projet Platrerie staff Hall Entrée RDC,37111,supprime
ts-sup-017,45,Maj projet Boiserie Hall Entrée RDC,61812,supprime
ts-sup-018,27,Maj Projet déco Marbre - Salles de bain,397717,supprime
ts-sup-019,07,Modification Piscine en voute fausses pierres,249671,supprime
ts-sup-020,MAJ 22,"Vidéos, son, domotique",393058,supprime
ts-sup-021,32-B,Pompes techniques en mesure conservatoire,216892,supprime
ts-sup-022,2,Ajout persiennes sur Mext Rue,85273,supprime
ts-sup-023,73,Ajout de plinthes automatiques rdc 0 r+3,19844,supprime
ts-sup-024,63A,Ajout miroir dressing et cheminées,31562,supprime
ts-sup-025,80,Reprise kitchen R3,6485,supprime
ts-sup-026,83,Restauration imposte,19765,supprime
ts-sup-027,79,Modif barre de charge store occultant,13549,supprime
ts-sup-028,89,Plomberie Ssol,72625,supprime
